"bulgaria","whitegreen",1,"C"
"croatia","checker",4,"B"
"czech","whitewhite",10,"D"
"denmark","whitered",4,"C"
"england","whitenavy",10,"B"
"france","navywhite",7,"B"
"germany","whiteblack",2,"D"
"greece","blueblue",7,"A"
"italy","bluewhite",3,"C"
"latvia","redred",1,"D"
"netherlands","orangewhite",7,"D"
"portugal","redgreen",8,"A"
"russia","whiteblue",2,"A"
"spain","redblue",2,"A"
"sweden","yellowblue",8,"C"
"switzerland","redwhite",1,"B"
