134,"Ricardo Cabanas","switzerland","MD",0
135,"Raphael Wicky","switzerland","MD",0
136,"Alexander Frei","switzerland","FW",0
137,"Hakan Yakin","switzerland","FW",0
138,"Stephane Chapuisat","switzerland","FW",0
139,"Johan Vonlanthen","switzerland","FW",1
140,"Gianluigi Buffon","italy","GK",0
141,"Christian Panucci","italy","DF",0
142,"Massimo Oddo","italy","DF",0
143,"Christiano Znetti","italy","MD",0
144,"Fabio Cannavaro","italy","DF",0
145,"Matteo Ferrari","italy","DF",0
146,"Alessandro Del Piero","italy","FW",0
147,"Gennaro Gattuso","italy","MD",0
148,"Christian Vieri","italy","FW",0
149,"Francesco Totti","italy","FW",0
150,"Bernardo Corradi","italy","FW",0
151,"Antonio Cassano","italy","FW",2
152,"Simone Perotta","italy","MD",1
153,"Santiago Canizers","spain","GK",0
154,"Joan Capdevila","spain","DF",0
155,"Carlos Marchena","spain","DF",0
156,"David Albelda","spain","MD",0
157,"Carles Puyol","spain","DF",0
158,"Ivan Helguera","spain","DF",0
159,"Raul Gonzalez","spain","FW",0
160,"Ruben Baraja","spain","MD",0
161,"Fernando Torres","spain","FW",0
162,"Fernando Morientes","spain","FW",1
163,"Albert Luque","spain","FW",0
164,"Juan Carlos Valeron","spain","MD",1
165,"Mickael Landreau","france","GK",0
166,"Jean-Alain Boumsong","france","DF",0
167,"Bixente Lizarazu","france","DF",0
168,"Patrick Vieira","france","MD",0
169,"William Gallas","france","DF",0
170,"Claude Makelele","france","MD",0
171,"Robert Pires","france","MD",0
172,"Marcel Desailly","france","DF",0
173,"Louis Saha","france","FW",0
174,"Zinedine Zidane","france","MD",3
175,"Thierry Henry","france","FW",2
176,"David Trezeguet","france","FW",1
177,"Ricardo","portugal","GK",0
178,"Paulo Ferreira","portugal","DF",0
179,"Rui Jorge","portugal","DF",0
180,"Jorge Andrade","protugal","DF",0
181,"Fernando Couto","protugal","DF",0
182,"Costinha","protugal","MD",0
183,"Luis Figo","portugal","MD",0
184,"Petit","portugal","MD",0
185,"Pauleta","portugal","FW",0
186,"Rui Costa","portugal","MD",2
187,"Sabrosa Simao","portugal","FW",0
188,"Cristiano Ronaldo","portugal","FW",2
189,"Maniche","portugal","MD",2
190,"Helder Postiga","portugal","FW",1
191,"Nuno Gomez","portugal","FW",1
