"afonso",29643,"guimaraes"
"algarve",30000,"faro"
"alvalade",50300,"lisbon"
"aveiro",30678,"aveiro"
"bessa",30000,"porto"
"braga",30154,"braga"
"coimbra",30000,"coimbra"
"dragao",50106,"porto"
"luz",65272,"lisbon"
"pessoa",29771,"leiria"
